Author,Category,Question
Amir,Combinatorics,"Given a set X with n elements and a collection of m subsets A1​,A2​,…,Am​ of X, prove that there exists a subset of X with at least ⌊sqrt(n)⌋ elements which does not contain any of the subsets A1​,A2​,…,Am​"
,Combinatorics,"Show that it is possible to partition the vertex set V of a graph G on n vertices into two sets V1 and V2 such that any vertex in V1 has at least as many neighbors in V2 as in V1, and any vertex in V2 has at least as many neighbors in V1 as in V2."
,Combinatorics,"Can you cover all the black squares in a chess board with non-overlapping L-trominoes? When it is possible, what is the minimum number of L-trominoes needed?"
,Combinatorics,"There are n boxes B1, B2, …, Bn in a row. N balls are distributed amongst them (not necessarily equally). If there is at least one ball in B1, we can move one ball from B1 to B2. If there is at least one ball in Bn, we can move one ball from Bn to Bn-1. For 2 ≤ k ≤ (n -1), if there are at least two balls in Bk, we can remove two balls from Bk and place one in Bk+1 and one in Bk-1. Show that whatever the initial distribution of balls, we can make each box have exactly one ball."
,Combinatorics,"Let A1, A2, …, A6 be subsets of S = {1, 2, …, 8}. Suppose each set Ai has 4 elements and each element in S is in m of the Ai’s. Find m."
,math,How many straight lines can be formed by 8 points of which 3 are collinear?
,math,How many triangles can be formed by 8 points of which 3 are collinear?
,math,How many committees of 5 students can be selected from a class of 25?
,math,How many 10-letter patterns can be formed from the letters of the word “BASKETBALL”?
,math,A box contains 12 black and 8 green marbles. How many ways can 3 black and 2 green marbles be chosen?
,math,a) How many different ways can the students be assigned seats at the table? b) How many ways can a president and a vice-president be elected from the 8 students?
,math,"A Club consists of 20 members, of which 9 are male and 11 are female. Seven members will be selected to form an event-planning committee. How many committees of 4 females and 3 males can be formed?"
,math,How many 7-digit telephone numbers can be formed if the first digit cannot be 0 or 1?
,math,Six people are seated at a round table to play a game of cards. a) Is the seating arrangement around the table a linear or circular permutation? b) How many possible seating arrangements are there?
,math,"How many different 5-digit street addresses can have the digits 4, 7, 3, 4, and 8?"
,math,Three hardcover books and 5 paperbacks are placed on a shelf. How many ways can the books be arranged if all the hardcover books must be together and all the paperbacks must be together?
,math,"Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B \) = n. How many distinct functions (mappings) can you define from set \( A \) to set \( B \)?"
,math,"A function is said to be one-to-one if for all \( x_1, x_2 \in A \), we have \( f(x_1) \ne f(x_2) \). Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B| \) = n. How many distinct one-to-one functions (mappings) can you define from set \( A \) to set \( B \)?"
,math,An urn contains 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done with replacement? Assume \( 0 \le k \le 20 \).
