Question ID,Category,Question
1,math,"How many straight lines can be formed by 8 points of which 3 are collinear?"
2,math,"How many triangles can be formed by 8 points of which 3 are collinear?"
3,math,"How many committees of 5 students can be selected from a class of 25?"
4,math,"How many 10-letter patterns can be formed from the letters of the word “BASKETBALL”?"
5,math,"A box contains 12 black and 8 green marbles. How many ways can 3 black and 2 green marbles be chosen?"
6,math,"a) How many different ways can the students be assigned seats at the table? b) How many ways can a president and a vice-president be elected from the 8 students?"
7,math,"A Club consists of 20 members, of which 9 are male and 11 are female. Seven members will be selected to form an event-planning committee. How many committees of 4 females and 3 males can be formed?"
8,math,"How many 7-digit telephone numbers can be formed if the first digit cannot be 0 or 1?"
9,math,"Six people are seated at a round table to play a game of cards. a) Is the seating arrangement around the table a linear or circular permutation? b) How many possible seating arrangements are there?"
10,math,"How many different 5-digit street addresses can have the digits 4, 7, 3, 4, and 8?"
11,math,"Three hardcover books and 5 paperbacks are placed on a shelf. How many ways can the books be arranged if all the hardcover books must be together and all the paperbacks must be together?"
12,math,"Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B \) = n. How many distinct functions (mappings) can you define from set \( A \) to set \( B \)?"
13,math,"A function is said to be one-to-one if for all \( x_1, x_2 \in A \), we have \( f(x_1) \ne f(x_2) \). Let \( A \) and \( B \) be two finite sets, with \( |A| = m \) and \( |B| \) = n. How many distinct one-to-one functions (mappings) can you define from set \( A \) to set \( B \)?"
14,math,"An urn contains 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done with replacement? Assume \( 0 \le k \le 20 \)."
15,math,"An urn consists of 30 red balls and 70 green balls. What is the probability of getting exactly \( k \) red balls in a sample of size 20 if the sampling is done without replacement?"
16,math,"Assume that there are 100 people in a room and we know that: 25% with probability 1/4, 50% with probability 1/4, and 75% with probability 1/2. a) What is the probability that at least two of them have been born in the same month? Assume that all months are equally likely. b) Given that we already know there are at least two people that celebrate their birthday in the same month, what is the probability that 10% of the people share the same birth month?"
17,math,"How many distinct solutions does the following equation have? \( x_1 + x_2 + x_3 + x_4 = 100 \) such that \( x_1 \in \{1, 2, 3, \ldots\} \), \( x_2 \in \{2, 3, 4, \ldots\} \), \( x_3, x_4 \in \{0, 1, 2, \ldots\} \)."
18,math,"Guests arrive at a party. Each person is wearing a hat. We collect all hats and then randomly redistribute the hats, giving each person one of the \( N \) hats randomly. What is the probability that at least one person receives his/her own hat?"
19,coding,"Develop a C++ program that reads a text file line by line and counts the number of occurrences of a specific word in the file."
20,coding,"Implement a Python function to find the longest common subsequence of two input strings using dynamic programming."
21,coding,"Implement a regular expression in Python to validate an email address."
22,coding,"Write a program to find the nth Fibonacci number using dynamic programming."
23,coding,"Implement a binary search algorithm to find a specific element in a sorted array."
24,coding,"Implement a queue data structure using two stacks in Python."
25,coding,"Implement a program to find the common elements in two arrays without using any extra data structures."
26,math,"Given that f(x) = 5x^3 - 2x + 3, find the value of f(2)."
27,math,"Solve for x in the equation 3x + 10 = 5(x - 2)."
28,math,"If the endpoints of a line segment are (2, -2) and (10, 4), what is the length of the segment?"
